Time,Clusters,BTC,USD,Netflow_Bytes,Port,label
50,1,1,500,5,5061,0
40,1,1,504,8,5061,0
30,1,1,508,7,5061,0
20,1,1,512,15,5061,0
57,1,1,516,9,5061,0
41,1,1,520,17,5061,0
22,1,1,524,11,5061,0
18,1,1,528,19,5061,0
3,1,1,532,13,5061,0
26,1,1,536,21,5061,0
22,1,1,540,15,5061,0
7,1,1,544,23,5061,0
30,1,1,548,17,5061,0
26,1,1,552,25,5061,0
11,1,1,556,19,5068,0
34,1,1,560,27,5068,0
30,1,1,564,21,5068,0
15,1,18,568,29,5068,0
38,1,18,572,23,5068,0
34,1,18,576,31,5068,0
19,1,18,580,25,5068,0
42,1,18,584,33,5068,0
38,1,18,588,27,5068,0
23,1,18,592,35,5068,0
46,1,18,596,29,5068,0
42,1,18,600,37,5068,0
27,1,18,604,31,5066,0
50,1,18,608,39,5066,0
46,1,18,612,33,5066,0
31,1,18,616,41,5066,0
54,1,18,620,35,5066,0
50,1,18,624,43,5066,0
35,1,18,628,37,5066,0
58,1,18,632,45,5066,0
54,1,18,636,39,5066,0
39,1,18,640,47,5066,0
62,1,18,644,41,5066,0
58,1,18,648,49,5066,0
43,1,18,652,43,5066,0
66,1,18,656,51,5062,0
62,1,18,660,45,5062,0
47,1,18,664,53,5062,0
70,1,18,668,47,5062,0
66,1,18,672,55,5062,0
51,1,18,676,49,5062,0
74,1,18,680,57,5062,0
70,1,18,684,51,5062,0
55,1,18,688,59,5062,0
53,1,18,692,53,5062,0
51,1,18,696,61,5062,0
49,1,18,700,55,5062,0
47,1,18,704,63,5062,0
45,1,18,708,57,5062,0
43,1,4,712,65,5062,0
41,1,4,716,59,5062,0
39,1,4,720,67,5062,0
37,1,4,724,61,5062,0
35,1,4,728,69,5062,0
33,1,4,732,63,5062,0
31,1,4,736,71,5062,0
29,1,4,740,65,5062,0
27,1,4,744,73,5062,0
25,1,4,748,67,5062,0
23,1,4,752,75,5062,0
21,1,4,756,69,5062,0
19,1,4,760,77,5062,0
17,1,4,764,71,5062,0
15,1,4,768,79,5062,0
13,1,4,772,73,5062,0
11,1,4,776,81,5062,0
9,1,4,780,75,5062,0
7,1,4,784,83,5062,0
5,1,4,788,77,5062,0
3,1,4,792,85,5062,0
1,1,4,796,79,5062,0
6,1,4,800,87,5062,0
11,1,4,804,81,5062,0
16,1,4,808,89,5062,0
21,1,4,812,83,5062,0
26,1,4,816,91,5062,0
31,1,4,820,85,5062,0
36,1,4,824,93,5062,0
41,1,4,828,87,5062,0
46,1,8,832,95,5062,0
51,1,8,836,89,5062,0
56,1,8,840,97,5062,0
53,1,8,844,91,5062,0
58,1,8,848,99,5062,0
53,1,8,852,93,5062,0
48,1,8,856,101,5062,0
43,1,8,860,95,5062,0
38,1,8,864,103,5062,0
33,1,8,868,97,5062,0
28,1,8,872,105,5062,0
23,1,8,876,99,5062,0
7,1,8,880,107,5062,0
2,1,8,884,101,5062,0
7,1,8,888,109,5062,0
2,1,8,892,103,5062,0
20,1,8,896,111,5062,0
15,1,8,900,105,5062,0
10,1,8,904,113,5062,0
7,1,8,908,107,5062,0
2,1,8,912,115,5062,0
9,1,8,916,109,5062,0
4,1,8,920,117,5062,0
30,1,8,924,111,5062,0
25,1,8,928,119,5062,0
20,1,8,932,113,5062,0
15,1,8,936,121,5062,0
10,1,8,940,115,5062,0
5,1,8,944,123,5062,0
0,1,8,948,117,5062,0
3,1,8,952,125,5062,0
8,1,8,956,119,5062,0
3,1,8,960,127,5062,0
10,1,8,964,121,5062,0
5,1,8,968,129,5062,0
0,1,8,972,123,5062,0
8,1,8,976,131,5062,0
3,1,8,980,125,5062,0
1,1,8,984,133,5062,0
7,1,8,988,127,5062,0
2,1,8,992,135,5062,0
3,1,8,996,129,5062,0
30,1,8,1000,137,5062,0
25,1,8,1004,131,5062,0
58,1,8,1008,139,5062,0
50,1,8,1012,133,5062,0
42,1,8,1016,141,5062,0
34,1,8,1020,135,5062,0
26,1,8,1024,143,5062,0
18,1,8,1028,137,5062,0
10,1,8,1032,145,5062,0
2,1,8,1036,139,5062,0
10,1,8,1040,147,5062,0
2,1,8,1044,141,5062,0
4,1,8,1048,149,5062,0
9,1,8,84346,8,5068,0
1,1,8,1046,11,5068,0
9,1,8,1050,14,5068,0
1,1,8,84348,17,5068,0
0,1,8,1048,20,5068,0
50,1,8,1052,23,5068,0
42,1,8,84350,26,5068,0
34,1,8,1050,29,5068,0
26,1,8,1054,32,5068,0
18,1,8,84352,35,5068,0
10,1,8,1052,38,5068,0
2,1,8,1056,41,5068,0
6,1,8,84354,44,5068,0
4,1,8,1054,47,5068,0
6,1,8,1058,50,5068,0
9,1,8,84356,53,5068,0
12,1,8,1056,56,5068,0
15,1,8,1060,59,5068,0
18,1,8,84358,62,5068,0
21,1,8,1058,65,5068,0
24,1,8,1062,68,5068,0
27,1,8,84360,71,5068,0
30,1,8,1060,74,5068,0
33,1,8,1064,77,5068,0
36,1,8,84362,80,5068,0
39,1,8,1062,83,5068,0
42,1,8,1066,86,5068,0
45,1,8,84364,89,5068,0
48,1,12,1064,92,5068,0
51,1,12,1068,95,5068,0
54,1,12,84366,98,5068,0
52,1,12,1066,101,5068,0
50,1,12,1070,104,5068,0
48,1,12,84368,107,5068,0
46,1,12,1068,110,5068,0
44,1,12,1072,113,5068,0
42,1,12,84370,116,5068,0
40,1,12,1070,119,5068,0
38,1,12,1074,122,5068,0
36,1,12,84372,125,5068,0
34,1,12,1072,128,5068,0
32,1,12,1076,131,5068,0
30,1,12,84374,134,5068,0
28,1,12,1074,137,5068,0
26,1,12,1078,140,5068,0
24,1,12,84376,143,5068,0
22,1,12,1076,146,5068,0
20,1,12,1080,149,5068,0
18,1,12,84378,152,5068,0
16,1,12,1078,155,5068,0
14,1,12,1082,158,5068,0
12,1,12,84380,161,5068,0
10,1,12,1080,164,5068,0
8,1,12,1084,167,5068,0
6,1,12,84382,170,5068,0
4,1,12,1082,173,5068,0
6,1,12,1086,176,5068,0
8,1,12,84384,179,5068,0
10,1,12,1084,182,5068,0
12,1,12,1088,185,5068,0
14,1,12,84386,188,5068,0
16,1,12,1086,191,5068,0
18,1,12,1090,194,5068,0
20,1,12,84388,197,5068,0
22,1,12,1088,200,5068,0
24,1,12,1092,203,5068,0
26,1,12,84390,206,5068,0
28,1,12,1090,209,5068,0
30,1,12,1094,212,5068,0
32,1,12,84392,215,5068,0
34,1,12,1092,218,5068,0
36,1,12,1096,221,5068,0
38,1,12,84394,224,5068,0
40,1,12,1094,227,5068,0
42,1,12,1098,230,5068,0
44,1,12,84396,233,5068,0
46,1,12,1096,236,5068,0
48,1,12,1100,239,5068,0
50,1,12,84398,242,5068,0
52,1,12,1098,245,5068,0
54,1,12,1102,248,5068,0
56,1,12,84400,251,5068,0
58,1,12,1100,254,5068,0
40,1,12,1104,257,5068,0
37,1,12,84402,260,5068,0
34,1,12,1102,263,5068,0
31,1,12,1106,266,5068,0
28,1,12,84404,269,5068,0
25,1,12,1104,272,5068,0
22,1,12,1108,275,5068,0
19,1,12,84406,278,5068,0
16,1,12,1106,281,5068,0
13,1,12,1110,284,5068,0
10,1,12,84408,287,5068,0
7,1,12,1108,290,5068,0
4,1,12,1112,293,5068,0
1,1,12,84410,296,5068,0
1,1,12,1110,299,5068,0
7,1,12,1114,302,5068,0
4,1,12,84412,305,5068,0
4,1,12,1112,308,5068,0
10,1,12,1116,311,5068,0
7,1,12,84414,314,5068,0
7,1,12,1114,317,5068,0
13,1,12,1118,320,5068,0
10,1,12,84416,323,5068,0
10,1,12,1116,326,5068,0
16,1,12,1120,329,5068,0
13,1,12,84418,332,5068,0
13,1,12,1118,335,5068,0
19,1,12,1122,338,5068,0
16,1,12,84420,341,5068,0
16,1,12,1120,344,5068,0
22,1,12,1124,347,5068,0
19,1,12,84422,350,5068,0
19,1,12,1122,353,5068,0
25,1,12,1126,356,5068,0
22,1,12,84424,359,5068,0
22,1,12,1124,362,5068,0
28,1,12,1128,365,5068,0
25,1,12,84426,368,5068,0
25,1,12,1126,371,5068,0
31,1,12,1130,374,5068,0
28,1,12,84428,377,5068,0
28,1,12,1128,380,5068,0
34,1,12,1132,383,5068,0
31,1,12,84430,386,5068,0
31,1,12,1130,389,5068,0
37,1,12,1134,392,5068,0
34,1,12,84432,395,5068,0
34,1,12,1132,398,5068,0
40,1,12,1136,401,5068,0
37,1,12,84434,404,5068,0
37,1,12,1134,407,5068,0
43,1,12,1138,410,5068,0
40,1,12,84436,413,5068,0
40,1,12,1136,416,5068,0
46,1,12,1140,419,5068,0
43,1,12,84438,422,5068,0
43,1,12,1138,425,5068,0
